name,type,country,founded,born,died
Audiovent,band,United States,,,
Carcass,band,England,,,
Afroman,artist,United States,,,
Orgy,band,United States,,,
Wynton Marsalis,artist,United States,,,
Fog Donkey,band,United Kingdom,,,
Wurzels,band,United Kingdom,,,
Greta Gaines,artist,United States,,,
Sizzla,artist,Jamaica,,,
Blessid Union of Souls,band,United States,1990,,
La Ley,artist,Chile,,,
Head Pro,band,United States,,,
Ultraspank,band,United States,,,
Lash,band,Australia,2001,,
Unbelievable Truth,band,England,,,
Christopher Perkins,artist,United States,,,
Robyn,band,Sweden,,,
Meredith Monk,artist,United States,,,
Leonard Cohen,artist,Canada,,,
The Paula Cole Band,band,United States,,,
On Loan,band,United States,,,
Anti-Flag,band,United States,1993,,
Marcia Ball,artist,United States,,1949,
Quiet Riot,band,United States,1975,,
Stuart Zender,artist,United Kingdom,,1974,
The Meters,band,United States,,,
Ptarmigan,band,Canada,,,
Monster,band,Sweden,,,
Turkish Folk Music Artists,artist,,,,
Albert Ayler,artist,United States,,1936,1970
Silkk the Shocker,band,United States,,,
HammerFall,band,Sweden,1993,,
Crass,band,United Kingdom,,,
Tamia,band,Canada,,,
Rock City Angels,band,United States,,,
Ultra Bide,band,,,,
Pinchas Zukerman,artist,Israel,,1948,
American Music Club,band,United States,1983,,
Truest Damned,band,,,,
Osker,band,United States,,,
Dino,artist,United States,,,
Lard,band,United States,,,
Jerry Lee Lewis,artist,United States,,,
Dave Holland,artist,England,,,
Merle Haggard,band,United States,1937,,
Jon Secada,artist,Cuba,,,
Matchbox Twenty,band,United States,,,
Five For Fighting,band,United States,1997,,
Ayreon,band,Netherlands,1994,,
Kishore Kumar,artist,India,,,
Richie Furay,artist,United States,,1944,
Finley Quaye,artist,Scotland,,1974,
Krezip,band,Netherlands,1997,,
John Taylor,artist,England,,,
Megadeth,band,United States,1983,,
Wheatus,band,United States,2000,,
Paul Wright,artist,United States,,,
Rupert Hine,artist,,,,
Joe Lynn Turner,artist,England,,1951,
Brassy,band,United Kingdom,,,
Harry Belafonte,artist,United States,,1927,
Mart Kenney,artist,Canada,,1910,
Shed 7,band,United Kingdom,,,
Tupac Shakur,artist,United States,,1971,1996
Apache Indian,artist,United Kingdom,,,
Stereo Deluxx,band,United States,,,
Steven Fromholz,artist,United States,,,
Eat Static,band,England,1989,,
Better Than Ezra,band,United States,1988,,
Millie Jackson,artist,United States,,,
EuroBoys,band,Norway,,,
Tortoise,band,United States,,,
One 4 Him,band,,,,
Thin Lizzy,band,Ireland,1969,,
Rustic Overtones,band,United States,,,
Bathory,band,Sweden,,,
David Helfgott,artist,Australia,,,
T.G. Sheppard,artist,United States,,,
Squarepusher,artist,England,,1976,
Badmarsh,artist,Yemen,,,
Vince Gill,artist,United States,,1957,
Angela Via,artist,United States,,,
Masai,band,United Kingdom,,,
Melvins,band,United States,,,
Shivaree,band,United States,,,
Suicide,band,United States,,,
Biz Markie (born: Marcel Hall),artist,United States,,1964,
King's Singers,band,England,,,
Geddy Lee,artist,Canada,,,
Steve Azar,artist,United States,,1964,
The Lightning Seeds,band,England,1989,,
Brand X,band,England,1976,,
All Mighty Whispers,band,,,,
Blue Highway,band,,,,
Blues Traveler,band,United States,1988,,
Taj Mahal,artist,United States,,1942,
Kenny Chesney,artist,United States,,1968,
Poco,band,United States,1968,,
One Minute Silence,band,United Kingdom,1995,,
Neil Adam and Judy Turner,band,Australia,,,
Glenda Lynn,artist,United States,,,
Artificial Joy Club,band,Canada,,,
John Broadway Tucker,artist,United States,,,
Scottish Gas Pipe Band,band,Scotland,,,
Incubus,band,United States,1997,,
Sean Combs,artist,United States,,,
Brady Seals,artist,United States,,,
Eliza Carthy and Nancy Kerr,band,,,,
The Smiths,band,United Kingdom,1982,,
JJ72,band,Ireland,,,
Toadies,band,United States,1989,,
Charles Manson,artist,United States,,,
Robbie Williams,artist,England,,1974,
Charlie Daniels,artist,United States,,,
Showoff,band,United States,,,
Stampin' Ground,band,United Kingdom,1995,,
Andy Williams,artist,United States,,,
The Hunt,band,Canada,,,
Psycore,band,Sweden,,,
Fu Manchu,band,United States,,,
E-40,band,,,,
Heatmiser,band,United States,,,
Dirty Vegas,band,United Kingdom,,,
Bob Rivers,artist,United States,,,
Hilary Hahn,artist,United States,,1979,
Blind Guardian,band,Germany,1985,,
Mariah Carey,artist,United States,,,
Gerry Mulligan,artist,United States,,,
Blu Sanders,artist,United States,,,
Paradise Lost,band,England,1987,,
Black Tape for a Blue Girl,band,United States,1986,,
David Hasselhoff,artist,United States,,,
Bad Livers,band,United States,1990,,
REO Speedwagon,band,United States,1967,,
Episode Six,band,United Kingdom,,,
Son Volt,band,United States,,,
Kitty Wells,artist,United States,,,
Hank Mobley,artist,United States,,1930,1986
Steeleye Span,band,United Kingdom,1970,,
Kosher,band,United Kingdom,,,
Sailor,band,United Kingdom,,,
Brandy,artist,United States,,1979,
Sentenced,band,Finland,,,
Black Star,band,United States,1997,,
Sunk Loto,band,Australia,,,
Skulker,band,Australia,,,
Ivy,band,,,,
Test Dept,band,England,,,
Robert Hunter,artist,United States,,,
Betty Carter,artist,United States,,,
Thunderbugs,band,United Kingdom,,,
Dolly Parton,artist,United States,,1946,
Sonic Youth,band,United States,1981,,
Elisa Fiorillo,artist,United States,,,
Robert Earl Keen,artist,United States,,,
Brutal Truth,band,United States,2000,,
Uncle Brian,band,United Kingdom,1999,,
Living Colour,band,,1984,,
Rx Bandits,band,United States,1996,,
Ella Fitzgerald,artist,United States,,,
Archers of Loaf,band,United States,1991,,
Kill II This,band,United Kingdom,,,
Animotion,band,United States,1984,,
Nina Gordon,artist,United States,,,
Gus Gus,band,Iceland,,,
Cat Stevens,artist,England,,,
Charlie Dore,artist,England,,,
The 1.4.5s,band,United States,,,
Bill Adam,artist,United States,,1917,
Puddle of Mudd,band,United States,,,
dc Talk,band,United States,1989,,
Jewel,artist,United States,,,
Ritchie Blackmore,artist,England,,1945,
Salt-N-Pepa,band,United States,,,
S.E.S,band,Japan,,,
Tannahill Weavers,band,Scotland,,,
Claire Lynch,artist,United States,,1954,
Tramontane,band,United States,,,
Chubby Carrier,artist,United States,,,
Allies,band,United States,1985,,
The Little Rabbits,band,France,1988,,
Arturo Benedetto Michelangeli,artist,Italy,,,
Buffalo Tom,band,United States,1986,,
Katy Benko,artist,United States,,,
Amr Diab,artist,Egypt,,1961,
Intervox,band,United States,,,
Booker Little,artist,United States,,1938,1961
36 Crazyfists,band,United States,1994,,
Dwight Yoakam,artist,United States,,1980,
Spoon,band,United States,1994,,
